Time (sec),X,Y
1.454167,0.343200,0.597600
1.458333,0.343200,0.600000
1.462500,0.343200,0.602400
1.466667,0.343200,0.605400
1.470833,0.342600,0.607800
1.475000,0.342600,0.610800
1.479167,0.342600,0.613800
1.483333,0.342000,0.616200
1.487500,0.341400,0.618600
1.491667,0.341400,0.621600
1.495833,0.341400,0.624600
1.500000,0.340200,0.627600
1.504167,0.340200,0.630000
1.508333,0.340200,0.633000
1.512500,0.339600,0.635400
1.516667,0.339600,0.637200
1.520833,0.339000,0.639600
1.525000,0.339000,0.642000
1.529167,0.338400,0.644400
1.533333,0.338400,0.646200
1.537500,0.338400,0.648000
1.541667,0.337800,0.650400
1.545833,0.337200,0.652800
1.550000,0.337200,0.655200
1.554167,0.336600,0.657600
1.558333,0.336600,0.660000
1.562500,0.336600,0.661800
1.566667,0.336000,0.664200
1.570833,0.336000,0.666600
1.575000,0.336000,0.669000
1.579167,0.336000,0.670800
1.583333,0.336000,0.672000
1.587500,0.336000,0.673800
1.591667,0.335400,0.675600
1.595833,0.335400,0.676800
1.600000,0.334800,0.678000
1.604167,0.334800,0.679800
1.608333,0.334800,0.681000
1.612500,0.334800,0.682200
1.616667,0.333600,0.682800
1.620833,0.333600,0.684000
1.625000,0.333000,0.685800
1.629167,0.332400,0.686400
1.633333,0.331800,0.688200
1.637500,0.331200,0.688800
1.641667,0.331200,0.690000
1.645833,0.330000,0.690600
1.650000,0.330000,0.691800
1.654167,0.329400,0.692400
1.658333,0.328800,0.693000
1.662500,0.327600,0.693600
1.666667,0.327600,0.694200
1.670833,0.327000,0.695400
1.675000,0.326400,0.696000
1.679167,0.325800,0.696600
1.683333,0.325200,0.696600
1.687500,0.325200,0.697200
1.691667,0.324600,0.697800
1.695833,0.324600,0.698400
1.700000,0.323400,0.699000
1.704167,0.323400,0.699000
1.708333,0.322800,0.699600
1.712500,0.322800,0.699600
1.716667,0.322800,0.700200
1.720833,0.322200,0.700200
1.725000,0.322200,0.700200
1.729167,0.322200,0.700200
1.733333,0.321600,0.700200
1.737500,0.321600,0.700200
1.741667,0.321600,0.700200
1.745833,0.321000,0.700200
1.750000,0.321600,0.700200
1.754167,0.321600,0.699600
1.758333,0.321000,0.699600
1.762500,0.321000,0.699000
1.766667,0.321000,0.698400
1.770833,0.321600,0.697800
1.775000,0.321600,0.697800
1.779167,0.321600,0.697200
1.783333,0.321600,0.696600
1.787500,0.321600,0.696600
1.791667,0.321600,0.696600
1.795833,0.321600,0.696600
1.800000,0.321000,0.696600
1.804167,0.321600,0.696600
1.808333,0.321000,0.696000
1.812500,0.320400,0.696000
1.816667,0.320400,0.695400
1.820833,0.320400,0.695400
1.825000,0.319800,0.694800
1.829167,0.319200,0.694800
1.833333,0.319200,0.693600
1.837500,0.318000,0.693000
1.841667,0.317400,0.692400
1.845833,0.316800,0.691200
1.850000,0.315600,0.690000
1.854167,0.315600,0.688200
1.858333,0.314400,0.687000
1.862500,0.313800,0.686400
1.866667,0.313200,0.684000
1.870833,0.312600,0.682200
1.875000,0.312600,0.679800
1.879167,0.311400,0.678000
1.883333,0.311400,0.676200
1.887500,0.310800,0.673800
1.891667,0.310800,0.671400
1.895833,0.309600,0.669000
1.900000,0.309000,0.667200
