Time (sec),X,Y
1.570833,0.336571,0.628571
1.575000,0.336000,0.626857
1.579167,0.334857,0.626857
1.583333,0.333143,0.626286
1.587500,0.331429,0.626286
1.591667,0.329714,0.625714
1.595833,0.327429,0.625714
1.600000,0.325143,0.626286
1.604167,0.322286,0.626857
1.608333,0.319429,0.628000
1.612500,0.317143,0.629143
1.616667,0.314857,0.629714
1.620833,0.312571,0.632000
1.625000,0.310286,0.633714
1.629167,0.308000,0.635429
1.633333,0.305714,0.637714
1.637500,0.304000,0.640000
1.641667,0.302286,0.641714
1.645833,0.300571,0.644000
1.650000,0.298857,0.646286
1.654167,0.297714,0.648000
1.658333,0.296571,0.650286
1.662500,0.295429,0.652000
1.666667,0.294286,0.654286
1.670833,0.293714,0.656000
1.675000,0.292571,0.657714
1.679167,0.292000,0.659429
1.683333,0.291429,0.660571
1.687500,0.290857,0.662857
1.691667,0.290857,0.664000
1.695833,0.289714,0.664571
1.700000,0.289714,0.666286
1.704167,0.289143,0.666857
1.708333,0.289143,0.668000
1.712500,0.289143,0.668571
1.716667,0.288571,0.669143
1.720833,0.288000,0.669714
1.725000,0.288000,0.669714
1.729167,0.287429,0.669714
1.733333,0.287429,0.669714
1.737500,0.286857,0.670286
1.741667,0.286857,0.669714
1.745833,0.286857,0.669714
1.750000,0.286286,0.669143
1.754167,0.286857,0.668000
1.758333,0.286857,0.666857
1.762500,0.286286,0.666286
1.766667,0.286286,0.665714
1.770833,0.286857,0.664571
1.775000,0.286857,0.663429
1.779167,0.286857,0.662286
1.783333,0.287429,0.661714
1.787500,0.287429,0.660000
1.791667,0.287429,0.658857
1.795833,0.287429,0.657143
1.800000,0.287429,0.656000
1.804167,0.287429,0.654286
1.808333,0.288000,0.653143
1.812500,0.288571,0.651429
1.816667,0.289143,0.649714
1.820833,0.289714,0.648000
1.825000,0.289714,0.646286
1.829167,0.290857,0.644571
1.833333,0.290857,0.643429
1.837500,0.292571,0.641714
1.841667,0.293143,0.639429
1.845833,0.294286,0.638286
1.850000,0.296000,0.636571
1.854167,0.296571,0.634857
1.858333,0.297143,0.633714
1.862500,0.298286,0.632000
1.866667,0.300000,0.630286
1.870833,0.301714,0.629143
1.875000,0.303429,0.628000
1.879167,0.304571,0.626857
1.883333,0.306286,0.626286
1.887500,0.307429,0.626286
1.891667,0.308571,0.626286
1.895833,0.309143,0.626857
1.900000,0.310286,0.627429
1.904167,0.310286,0.628571
1.908333,0.310857,0.629143
1.912500,0.310857,0.630286
1.916667,0.309143,0.632000
1.920833,0.308571,0.633143
1.925000,0.306286,0.633714
1.929167,0.304571,0.634857
1.933333,0.301714,0.634857
1.937500,0.297714,0.634286
1.941667,0.293714,0.632571
1.945833,0.290286,0.630857
1.950000,0.285714,0.628000
1.954167,0.282286,0.625143
1.958333,0.278857,0.620571
1.962500,0.276000,0.616571
1.966667,0.269714,0.610857
1.970833,0.270286,0.602857
1.975000,0.269714,0.597143
1.979167,0.270286,0.589714
1.983333,0.272000,0.584000
1.987500,0.274857,0.577714
1.991667,0.278286,0.572571
1.995833,0.281714,0.568000
2.000000,0.286286,0.564571
2.004167,0.290286,0.561714
2.008333,0.294857,0.560571
2.012500,0.298857,0.560000
2.016667,0.301714,0.560571
2.020833,0.304571,0.561714
2.025000,0.305714,0.562857
2.029167,0.305714,0.565143
2.033333,0.304000,0.567429
2.037500,0.301714,0.568571
2.041667,0.298286,0.569143
2.045833,0.294857,0.568571
2.050000,0.289143,0.566286
2.054167,0.285143,0.563429
2.058333,0.279429,0.558286
2.062500,0.276000,0.552571
2.066667,0.273143,0.545714
2.070833,0.270857,0.538286
2.075000,0.270286,0.530286
