Time (sec),X,Y,R,Theta,Delta_Time,Delta_X,Delta_Y,Speed_X,Speed_Y,Speed,Acceleration_X,Acceleration_Y,Acceleration,Delta_Theta,Angular_Velocity,Delta_Omega,Angular_Acceleration
0.249513,0.327282,0.909172,0.966285,1.225260,0.004159,-0.001639,-0.006149,-0.342569,-1.491165,1.532524,-2.632853,-38.260728,38.351209,-0.000247,-0.084878,-0.026688,-3.873705
0.253672,0.326949,0.906879,0.964016,1.224779,0.004159,-0.001378,-0.006591,-0.307511,-1.560543,1.595413,11.841876,-44.676711,46.219460,-0.000481,-0.104997,-0.020119,-4.406255
0.257830,0.326654,0.904570,0.961743,1.224254,0.004159,-0.001172,-0.006819,-0.263276,-1.638461,1.664702,23.990492,-52.297501,57.537573,-0.000526,-0.130040,-0.025043,-4.138238
0.261989,0.326503,0.902025,0.959298,1.223501,0.004159,-0.000780,-0.007147,-0.224186,-1.702787,1.720979,28.467195,-50.888200,58.309434,-0.000752,-0.147206,-0.017166,-3.301984
0.266148,0.326359,0.899614,0.956983,1.222785,0.004159,-0.000590,-0.007265,-0.195790,-1.750650,1.762568,26.865330,-45.714515,53.024172,-0.000717,-0.151245,-0.004039,-1.496665
0.270306,0.326144,0.896997,0.954450,1.222061,0.004159,-0.000510,-0.007573,-0.187711,-1.761967,1.772098,18.170949,-29.699268,34.817092,-0.000723,-0.143575,0.007670,0.232639
0.274465,0.325769,0.894683,0.952147,1.221601,0.004159,-0.000733,-0.007341,-0.193473,-1.746561,1.757718,7.385622,-10.526301,12.858866,-0.000460,-0.137801,0.005774,1.663530
0.278623,0.325424,0.892231,0.949724,1.221059,0.004159,-0.000936,-0.007383,-0.211955,-1.719575,1.734060,-3.887080,7.472532,8.423071,-0.000542,-0.125343,0.012458,2.051607
0.282782,0.324964,0.890018,0.947488,1.220715,0.004159,-0.001180,-0.006979,-0.237126,-1.697911,1.716090,-11.882775,15.403471,19.454235,-0.000345,-0.112955,0.012388,2.133099
0.286940,0.324488,0.887852,0.945290,1.220402,0.004159,-0.001281,-0.006831,-0.271454,-1.679691,1.702363,-18.752051,16.080003,24.702347,-0.000313,-0.099243,0.013712,1.183891
0.291099,0.324138,0.885640,0.943092,1.219945,0.004159,-0.001285,-0.006591,-0.295237,-1.674886,1.700181,-20.026727,10.746132,22.727718,-0.000457,-0.101900,-0.002657,-0.243117
0.295258,0.323827,0.883158,0.940654,1.219349,0.004159,-0.001138,-0.006861,-0.300878,-1.685502,1.711171,-15.330194,2.983901,15.617890,-0.000596,-0.113112,-0.011212,-1.546852
0.299416,0.323380,0.880608,0.938107,1.218861,0.004159,-0.001108,-0.007244,-0.286194,-1.727498,1.751164,-3.544553,-11.495941,12.029984,-0.000489,-0.131066,-0.017955,-2.491418
0.303575,0.322958,0.878054,0.935565,1.218343,0.004159,-0.001180,-0.007586,-0.264070,-1.782285,1.802662,7.494686,-25.825821,26.891325,-0.000518,-0.146057,-0.014991,-3.645195
0.307733,0.322659,0.875429,0.932997,1.217672,0.004159,-0.001167,-0.007729,-0.238792,-1.857616,1.873971,14.929727,-41.387774,43.998234,-0.000670,-0.168275,-0.022218,-4.470818
0.311892,0.322524,0.872618,0.930314,1.216763,0.004159,-0.000855,-0.007990,-0.214874,-1.929311,1.942061,17.150186,-48.529709,51.470977,-0.000909,-0.184046,-0.015770,-4.643684
0.316050,0.322309,0.869756,0.927556,1.215911,0.004159,-0.000649,-0.008298,-0.192317,-1.993119,2.002930,17.254136,-50.699043,53.554628,-0.000852,-0.195214,-0.011168,-3.944326
0.320209,0.322048,0.866848,0.924738,1.215084,0.004159,-0.000611,-0.008580,-0.169272,-2.031862,2.039466,16.717341,-41.900712,45.112517,-0.000828,-0.209161,-0.013947,-3.250363
0.324367,0.321867,0.863970,0.921978,1.214181,0.004159,-0.000657,-0.008648,-0.140960,-2.062434,2.067459,17.773891,-32.011749,36.615068,-0.000903,-0.227706,-0.018545,-2.546635
0.328526,0.321707,0.860965,0.919106,1.213203,0.004159,-0.000603,-0.008791,-0.115257,-2.092914,2.095536,18.530517,-23.997309,30.319150,-0.000978,-0.236632,-0.008927,-1.708994
0.332685,0.321555,0.858104,0.916373,1.212265,0.004159,-0.000493,-0.008745,-0.106427,-2.125278,2.127155,15.112067,-22.463608,27.073756,-0.000938,-0.234474,0.002159,-0.709265
0.336843,0.321445,0.855192,0.913608,1.211258,0.004159,-0.000421,-0.008778,-0.115697,-2.146581,2.149543,6.075160,-20.234629,21.126944,-0.001006,-0.230639,0.003834,0.055278
0.341002,0.321327,0.852128,0.910700,1.210196,0.004159,-0.000379,-0.008837,-0.130827,-2.159783,2.164096,-3.743935,-16.080003,16.510104,-0.001062,-0.230501,0.000139,0.929784
0.345160,0.321096,0.848951,0.907645,1.209200,0.004159,-0.000459,-0.009153,-0.147714,-2.170597,2.176302,-9.928158,-10.897798,14.742127,-0.000996,-0.225551,0.004950,1.733769
0.349319,0.320729,0.845899,0.904662,1.208386,0.004159,-0.000716,-0.009292,-0.172043,-2.183240,2.191079,-13.549396,-8.815373,16.164682,-0.000814,-0.214602,0.010949,2.096994
