Time (sec),X,Y,R,Theta,Delta_Time,Delta_X,Delta_Y,Speed_X,Speed_Y,Speed,Acceleration_X,Acceleration_Y,Acceleration,Delta_Theta,Angular_Velocity,Delta_Omega,Angular_Acceleration
0.170501,0.343423,0.928899,0.990350,1.216672,0.004159,0.001054,-0.000518,0.238381,-0.100574,0.259502,0.746401,-8.615992,8.648261,-0.000532,-0.092063,-0.006683,-0.683238
0.174659,0.343819,0.928684,0.990285,1.216221,0.004159,0.001256,-0.000641,0.247933,-0.116242,0.259674,4.328445,-11.040943,11.859084,-0.000450,-0.098081,-0.006018,0.634834
0.178818,0.344114,0.928490,0.990206,1.215874,0.004159,0.001155,-0.000674,0.250959,-0.128616,0.240035,5.507691,-10.323512,11.700836,-0.000347,-0.092588,0.005494,2.239025
0.182976,0.344468,0.928389,0.990234,1.215503,0.004159,0.001045,-0.000510,0.236602,-0.128226,0.216563,-0.427732,-6.649446,6.663189,-0.000371,-0.078337,0.014251,4.056487
0.187135,0.344569,0.928296,0.990183,1.215375,0.004159,0.000750,-0.000388,0.188951,-0.103720,0.193357,-14.183326,3.011166,14.499444,-0.000128,-0.044378,0.033959,6.263191
0.191294,0.344695,0.928220,0.990156,1.215229,0.004159,0.000582,-0.000270,0.110693,-0.058635,0.176865,-33.729494,16.828108,37.694349,-0.000146,-0.002693,0.041685,7.982515
0.195452,0.344531,0.928216,0.990094,1.215383,0.004159,0.000063,-0.000173,0.005060,-0.004082,0.175804,-55.678459,29.852638,63.176506,0.000154,0.040796,0.043489,9.744527
0.199611,0.344156,0.928376,0.990114,1.215794,0.004159,-0.000413,0.000080,-0.108454,0.046056,0.201611,-71.516479,36.016412,80.073645,0.000411,0.080659,0.039863,10.706035
0.203769,0.343629,0.928684,0.990220,1.216401,0.004159,-0.001066,0.000464,-0.226851,0.092183,0.262353,-81.168570,36.266917,88.902340,0.000607,0.125538,0.044879,10.883672
0.207928,0.342896,0.928928,0.990195,1.217181,0.004159,-0.001635,0.000712,-0.354240,0.124491,0.355090,-86.400195,30.917708,91.765453,0.000780,0.172722,0.047184,10.649131
